Jackson County, Missouri, Average Temperature, January
Units: Degrees Fahrenheit,,,
Base Period: 1901-2000,,,
Missing: -99,,,
Date,Value,Anomaly,
189501,21.7,-5.6,
189601,29.7,2.4,
189701,25.7,-1.6,
189801,30.4,3.1,
189901,27.3,0,
190001,32.4,5.1,
190101,31.2,3.9,
190201,27.9,0.6,
190301,28.4,1.1,
190401,25.2,-2.1,
190501,18.3,-9,
190601,31.6,4.3,
190701,30.2,2.9,
190801,31.1,3.8,
190901,28.7,1.4,
191001,27.8,0.5,
191101,30.9,3.6,
191201,14.5,-12.8,
191301,27.5,0.2,
191401,33.5,6.2,
191501,24.7,-2.6,
191601,24.3,-3,
191701,29.4,2.1,
191801,14,-13.3,
191901,29.2,1.9,
192001,26.7,-0.6,
192101,33.5,6.2,
192201,26.6,-0.7,
192301,36.5,9.2,
192401,21.4,-5.9,
192501,25.5,-1.8,
192601,30.4,3.1,
192701,27.8,0.5,
192801,30.4,3.1,
192901,19.7,-7.6,
193001,15.2,-12.1,
193101,34.1,6.8,
193201,30.5,3.2,
193301,38.1,10.8,
193401,33,5.7,
193501,29.3,2,
193601,19,-8.3,
193701,20.8,-6.5,
193801,30,2.7,
193901,35.9,8.6,
194001,10.5,-16.8,
194101,30.3,3,
194201,29.3,2,
194301,25.9,-1.4,
194401,33.4,6.1,
194501,28,0.7,
194601,30.7,3.4,
194701,30.4,3.1,
194801,23,-4.3,
194901,23.8,-3.5,
195001,28.8,1.5,
195101,29.3,2,
195201,31.9,4.6,
195301,31.6,4.3,
195401,27,-0.3,
195501,29.3,2,
195601,26.1,-1.2,
195701,23.3,-4,
195801,29.5,2.2,
195901,23.3,-4,
196001,28.3,1,
196101,28.8,1.5,
196201,20.3,-7,
196301,18.8,-8.5,
196401,34.3,7,
196501,30.1,2.8,
196601,25.2,-2.1,
196701,31.8,4.5,
196801,26.8,-0.5,
196901,25.5,-1.8,
197001,23,-4.3,
197101,25.3,-2,
197201,26,-1.3,
197301,27.4,0.1,
197401,24.6,-2.7,
197501,30.8,3.5,
197601,28.8,1.5,
197701,15.4,-11.9,
197801,17.2,-10.1,
197901,13.5,-13.8,
198001,29.6,2.3,
198101,30.6,3.3,
198201,20.6,-6.7,
198301,30.7,3.4,
198401,26.9,-0.4,
198501,19.6,-7.7,
198601,34.7,7.4,
198701,29.3,2,
198801,27.2,-0.1,
198901,37.2,9.9,
199001,38.4,11.1,
199101,24,-3.3,
199201,36,8.7,
199301,26.6,-0.7,
199401,25.5,-1.8,
199501,28,0.7,
199601,25,-2.3,
199701,25.1,-2.2,
199801,32.9,5.6,
199901,28.4,1.1,
200001,32.5,5.2,
200101,28.7,1.4,
200201,33.9,6.6,
200301,27.6,0.3,
200401,28.1,0.8,
200501,29.1,1.8,
200601,40.1,12.8,
200701,29.5,2.2,
200801,28.9,1.6,
200901,26.9,-0.4,
201001,23,-4.3,
201101,24.2,-3.1,
201201,35.8,8.5,
201301,33.1,5.8,
201401,25.2,-2.1,
201501,31.2,3.9,
201601,29.9,2.6,
201701,33.3,6,
201801,28.2,0.9,
201901,29.1,1.8,
202001,32.5,5.2,
