Kansas City, Missouri, Average Temperature, August
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197308,77.7,,
197408,73.7,,
197508,80.4,,
197608,78.3,,
197708,75.1,,
197808,77.2,,
197908,76.3,,
198008,81,,
198108,73.5,,
198208,75.6,,
198308,84.2,,
198408,79.6,,
198508,72.8,,
198608,72.1,,
198708,76.5,,
198808,81.3,,
198908,75.8,,
199008,77.4,,
199108,78,,
199208,70.9,,
199308,78.1,,
199408,75.6,,
199508,79.8,,
199608,75.1,,
199708,74.8,,
199808,77.3,,
199908,76.6,,
200008,82.1,,
200108,77.6,,
200208,78.8,,
200308,81.4,,
200408,72.5,,
200508,78.1,,
200608,80,,
200708,82.9,,
200808,75.4,,
200908,74,,
201008,81.2,,
201108,78.1,,
201208,76.9,,
201308,75.9,,
201408,77.5,,
201508,74.5,,
201608,77,,
201708,71.8,,
201808,77.3,,
201908,76,,
