Kansas City, Missouri, Average Temperature, December
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197212,27.4,,
197312,30.7,,
197412,32.9,,
197512,34.7,,
197612,29.7,,
197712,30.2,,
197812,31.6,,
197912,35.8,,
198012,32.8,,
198112,29.6,,
198212,36.1,,
198312,13.9,,
198412,36.1,,
198512,23.6,,
198612,34.5,,
198712,35.1,,
198812,35.3,,
198912,21.3,,
199012,29.5,,
199112,36.4,,
199212,33.2,,
199312,34.8,,
199412,36.7,,
199512,31.5,,
199612,29.9,,
199712,33.7,,
199812,35,,
199912,36,,
200012,19.3,,
200112,37.5,,
200212,36.5,,
200312,35.4,,
200412,34.5,,
200512,29,,
200612,36.8,,
200712,29.9,,
200812,28.7,,
200912,28.5,,
201012,29.3,,
201112,35.9,,
201212,35.9,,
201312,28.3,,
201412,34.4,,
201512,39.7,,
201612,30.2,,
201712,32.2,,
201812,34.9,,
201912,38,,
