Kansas City, Missouri, Average Temperature, January
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197301,28,,
197401,24.5,,
197501,30.5,,
197601,28.2,,
197701,16.2,,
197801,17.5,,
197901,13.1,,
198001,29.4,,
198101,31,,
198201,19.3,,
198301,30.7,,
198401,25.6,,
198501,19.3,,
198601,35.1,,
198701,29.8,,
198801,26.8,,
198901,37.4,,
199001,38.1,,
199101,23.1,,
199201,36.1,,
199301,26.2,,
199401,25.4,,
199501,28.4,,
199601,25.1,,
199701,24.6,,
199801,34.1,,
199901,28,,
200001,32,,
200101,29.4,,
200201,34.4,,
200301,27.3,,
200401,27.4,,
200501,28.3,,
200601,40.8,,
200701,28.8,,
200801,27.5,,
200901,27.5,,
201001,23.8,,
201101,22.8,,
201201,35.1,,
201301,32.8,,
201401,24.6,,
201501,31.3,,
201601,29.7,,
201701,32.4,,
201801,28.5,,
201901,28.2,,
202001,32.3,,
