Kansas City, Missouri, Average Temperature, June
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197306,75.1,,
197406,71.1,,
197506,74.8,,
197606,71.9,,
197706,75.2,,
197806,75.2,,
197906,72.8,,
198006,75.9,,
198106,74.7,,
198206,69.5,,
198306,71.4,,
198406,75,,
198506,69.5,,
198606,76.6,,
198706,76,,
198806,78.2,,
198906,71.3,,
199006,75.7,,
199106,76.4,,
199206,70,,
199306,73.1,,
199406,76,,
199506,72.9,,
199606,74.1,,
199706,73.3,,
199806,73.8,,
199906,71.7,,
200006,71.4,,
200106,72.4,,
200206,76.4,,
200306,70.8,,
200406,70.6,,
200506,75.5,,
200606,75.5,,
200706,73.2,,
200806,73.8,,
200906,74.8,,
201006,77.6,,
201106,76,,
201206,77.3,,
201306,73.4,,
201406,74,,
201506,74.8,,
201606,78.6,,
201706,74.6,,
201806,77.8,,
201906,73.7,,
