Kansas City, Missouri, Average Temperature, March
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197303,48.3,,
197403,47.6,,
197503,37.1,,
197603,45.6,,
197703,48.6,,
197803,38.3,,
197903,42.9,,
198003,39.3,,
198103,45.8,,
198203,43.1,,
198303,43.7,,
198403,36.6,,
198503,48,,
198603,49.6,,
198703,47.1,,
198803,43.3,,
198903,44.1,,
199003,46,,
199103,47.5,,
199203,47.1,,
199303,40,,
199403,46.3,,
199503,45.3,,
199603,37.8,,
199703,45.6,,
199803,39.3,,
199903,42.8,,
200003,47.4,,
200103,40.2,,
200203,40.3,,
200303,43.5,,
200403,47.6,,
200503,43.7,,
200603,45.5,,
200703,52.6,,
200803,41.6,,
200903,45.2,,
201003,45.4,,
201103,43.5,,
201203,58.4,,
201303,37.8,,
201403,40.2,,
201503,46.7,,
201603,50.5,,
201703,48.1,,
201803,43.6,,
201903,40.3,,
202003,48.8,,
