Kansas City, Missouri, Average Temperature, November
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197211,38.8,,
197311,46.2,,
197411,43.5,,
197511,46.5,,
197611,36.6,,
197711,42.9,,
197811,45,,
197911,41.4,,
198011,45.2,,
198111,46.3,,
198211,42.5,,
198311,44.9,,
198411,44.5,,
198511,37.5,,
198611,38,,
198711,46.7,,
198811,45.2,,
198911,42.6,,
199011,50.4,,
199111,36.9,,
199211,39.3,,
199311,39.7,,
199411,46.6,,
199511,40.4,,
199611,37.2,,
199711,40.9,,
199811,48.2,,
199911,52.2,,
200011,36.8,,
200111,51.5,,
200211,41.5,,
200311,42.9,,
200411,46.8,,
200511,46.1,,
200611,45.8,,
200711,43.9,,
200811,43.2,,
200911,49.9,,
201011,44.7,,
201111,45.4,,
201211,46.8,,
201311,41,,
201411,37.6,,
201511,48.2,,
201611,51.3,,
201711,44.9,,
201811,35.7,,
201911,40.8,,
