Kansas City, Missouri, Average Temperature, September
Units: Degrees Fahrenheit,,,
Missing: -99,,,
Date,Value,,
197309,67.4,,
197409,62.3,,
197509,64.2,,
197609,69.6,,
197709,69.6,,
197809,74.3,,
197909,69.2,,
198009,70.3,,
198109,69,,
198209,68.1,,
198309,71.8,,
198409,66.8,,
198509,67.3,,
198609,71.8,,
198709,67.8,,
198809,70.5,,
198909,63.4,,
199009,72.3,,
199109,69,,
199209,66.3,,
199309,63,,
199409,67.9,,
199509,65.7,,
199609,65,,
199709,69.5,,
199809,72.6,,
199909,66,,
200009,70.8,,
200109,65.9,,
200209,72.8,,
200309,64.6,,
200409,70,,
200509,71.5,,
200609,65.1,,
200709,71.2,,
200809,66.6,,
200909,67,,
201009,69.2,,
201109,64.8,,
201209,67.5,,
201309,71.5,,
201409,66.9,,
201509,72.9,,
201609,71.4,,
201709,71.1,,
201809,70.6,,
201909,74.8,,
