Wyandotte County, Kansas, Average Temperature, January
Units: Degrees Fahrenheit,,,
Base Period: 1901-2000,,,
Missing: -99,,,
Date,Value,Anomaly,
189501,22.4,-5,
189601,30,2.6,
189701,26.2,-1.2,
189801,30.7,3.3,
189901,27.8,0.4,
190001,33.2,5.8,
190101,31.6,4.2,
190201,29.4,2,
190301,29.2,1.8,
190401,25.4,-2,
190501,18.3,-9.1,
190601,32.2,4.8,
190701,30.3,2.9,
190801,31.7,4.3,
190901,28.8,1.4,
191001,27.9,0.5,
191101,30.9,3.5,
191201,14.3,-13.1,
191301,27.5,0.1,
191401,33.5,6.1,
191501,25.3,-2.1,
191601,23.3,-4.1,
191701,29.1,1.7,
191801,14.6,-12.8,
191901,30.1,2.7,
192001,27.2,-0.2,
192101,33.4,6,
192201,27,-0.4,
192301,36.6,9.2,
192401,21.3,-6.1,
192501,25.3,-2.1,
192601,30.9,3.5,
192701,28.3,0.9,
192801,30.5,3.1,
192901,19.7,-7.7,
193001,15.1,-12.3,
193101,34.8,7.4,
193201,29.7,2.3,
193301,38.7,11.3,
193401,33.2,5.8,
193501,29.9,2.5,
193601,19,-8.4,
193701,20,-7.4,
193801,30.5,3.1,
193901,36.1,8.7,
194001,10.9,-16.5,
194101,30.2,2.8,
194201,29.2,1.8,
194301,25.9,-1.5,
194401,33.6,6.2,
194501,28.6,1.2,
194601,31.3,3.9,
194701,30.7,3.3,
194801,23.2,-4.2,
194901,23.8,-3.6,
195001,28.7,1.3,
195101,29,1.6,
195201,32,4.6,
195301,32.3,4.9,
195401,27,-0.4,
195501,29.5,2.1,
195601,25.7,-1.7,
195701,23.2,-4.2,
195801,29.9,2.5,
195901,23.2,-4.2,
196001,28.5,1.1,
196101,29,1.6,
196201,20.5,-6.9,
196301,18.2,-9.2,
196401,34.8,7.4,
196501,30,2.6,
196601,24.9,-2.5,
196701,31.3,3.9,
196801,26.8,-0.6,
196901,25.1,-2.3,
197001,23.6,-3.8,
197101,25,-2.4,
197201,25.7,-1.7,
197301,27.5,0.1,
197401,24.4,-3,
197501,30.2,2.8,
197601,29.1,1.7,
197701,16,-11.4,
197801,17.1,-10.3,
197901,13.8,-13.6,
198001,29.7,2.3,
198101,31.2,3.8,
198201,20.8,-6.6,
198301,31,3.6,
198401,26.6,-0.8,
198501,19.9,-7.5,
198601,35.7,8.3,
198701,29.7,2.3,
198801,27.2,-0.2,
198901,37.6,10.2,
199001,38.7,11.3,
199101,24,-3.4,
199201,36.3,8.9,
199301,26.5,-0.9,
199401,25.6,-1.8,
199501,28.8,1.4,
199601,25.5,-1.9,
199701,25.6,-1.8,
199801,33.4,6,
199901,28.3,0.9,
200001,32.6,5.2,
200101,29.2,1.8,
200201,33.9,6.5,
200301,28,0.6,
200401,27.9,0.5,
200501,28.9,1.5,
200601,40.8,13.4,
200701,29.4,2,
200801,28.6,1.2,
200901,27.5,0.1,
201001,23.4,-4,
201101,24,-3.4,
201201,36.1,8.7,
201301,33.5,6.1,
201401,25.7,-1.7,
201501,31.8,4.4,
201601,30.4,3,
201701,33.1,5.7,
201801,28.7,1.3,
201901,29,1.6,
202001,32.2,4.8,
